Date,Open,High,Low,Close,Volume,Adj Close
2/6/2014,510.06,513.5,507.81,512.51,64441300,72.45
2/5/2014,506.56,515.28,506.25,512.59,82086200,72.03
2/4/2014,505.85,509.46,502.76,508.79,94170300,71.49
2/3/2014,502.61,507.73,499.3,501.53,100366000,70.47
1/31/2014,495.18,501.53,493.55,500.6,116199300,70.34
1/30/2014,502.54,506.5,496.7,499.78,169625400,70.23
1/29/2014,503.95,507.37,498.62,500.75,125702500,70.37
1/28/2014,508.76,515,502.07,506.5,266380800,71.17
1/27/2014,550.07,554.8,545.75,550.5,138719700,77.36
1/24/2014,554,555.62,544.75,546.07,107338700,76.73
1/23/2014,549.94,556.5,544.81,556.18,100809800,78.15
1/22/2014,550.91,557.29,547.81,551.51,94996300,77.5
1/21/2014,540.99,550.07,540.42,549.07,82131700,77.15
1/17/2014,551.48,552.07,539.9,540.67,106684900,75.97
1/16/2014,554.9,556.85,551.68,554.25,57319500,77.88
1/15/2014,553.52,560.2,551.66,557.36,97909700,78.32
1/14/2014,538.22,546.73,537.66,546.39,83140400,76.78
1/13/2014,529.91,542.5,529.88,535.73,94623200,75.28
1/10/2014,539.83,540.8,531.11,532.94,76244000,74.89
1/9/2014,546.8,546.86,535.35,536.52,69787200,75.39
1/8/2014,538.81,545.56,538.69,543.46,64632400,76.37
1/7/2014,544.32,545.96,537.92,540.04,79302300,75.89
1/6/2014,537.45,546.8,533.6,543.93,103152700,76.43
1/3/2014,552.86,553.7,540.43,540.98,98116900,76.02
1/2/2014,555.68,557.03,552.02,553.13,58671200,77.73
